method,miss_rate,threshold,benign_recall,benign_miss_rate_actual,no_tumor_hits,no_tumor_recall,no_tumor_precision,macro_f1,pauc_fpr005,constraint_satisfied,ece,brier
Exp18,0.02,0.1229999999999999,0.9844961240310077,0.015503875968992248,14,0.030456852791878174,0.8571428571428571,0.22847132583440902,0.5746372490558537,True,0.0901608159249189,0.17040963761385552
Exp18,0.05,0.1429999999999999,0.9534883720930233,0.046511627906976744,46,0.10152284263959391,0.8695652173913043,0.29387938793879387,0.5746372490558537,True,0.0901608159249189,0.17040963761385552
Exp18,0.1,0.17899999999999985,0.9069767441860465,0.09302325581395349,146,0.3401015228426396,0.9178082191780822,0.47937344459083586,0.5746372490558537,True,0.0901608159249189,0.17040963761385552
Exp18_2,0.02,0.03999999999999997,0.9844961240310077,0.015503875968992248,9,0.017766497461928935,0.7777777777777778,0.21488139112179647,0.5228567652130396,True,0.19708298752173414,0.23062169831993803
Exp18_2,0.05,0.053999999999999965,0.9534883720930233,0.046511627906976744,75,0.1751269035532995,0.92,0.36029311230428696,0.5228567652130396,True,0.19708298752173414,0.23062169831993803
Exp18_2,0.1,0.05699999999999996,0.9147286821705426,0.08527131782945736,104,0.23604060913705585,0.8942307692307693,0.4020754551050919,0.5228567652130396,True,0.19708298752173414,0.23062169831993803
Exp18_3,0.02,0.07299999999999994,0.9844961240310077,0.015503875968992248,59,0.1446700507614213,0.9661016949152542,0.33999307595233574,0.5667470817984335,True,0.3208598216878068,0.3238342702686849
Exp18_3,0.05,0.10399999999999991,0.9534883720930233,0.046511627906976744,89,0.21065989847715735,0.9325842696629213,0.39031511902003835,0.5667470817984335,True,0.3208598216878068,0.3238342702686849
Exp18_3,0.1,0.2449999999999998,0.9069767441860465,0.09302325581395349,146,0.3401015228426396,0.9178082191780822,0.47937344459083586,0.5667470817984335,True,0.3208598216878068,0.3238342702686849
Simple_Ensemble,0.02,0.08699999999999992,0.9844961240310077,0.015503875968992248,35,0.08375634517766498,0.9428571428571428,0.28275776087769605,0.5743547366732351,True,0.1424816187122128,0.1972071411917751
Simple_Ensemble,0.05,0.11399999999999991,0.9534883720930233,0.046511627906976744,100,0.23857868020304568,0.94,0.41310948776623835,0.5743547366732351,True,0.1424816187122128,0.1972071411917751
Simple_Ensemble,0.1,0.1599999999999999,0.9069767441860465,0.09302325581395349,144,0.3350253807106599,0.9166666666666666,0.4756681204812224,0.5743547366732351,True,0.1424816187122128,0.1972071411917751
Rank_Ensemble,0.02,0.10199999999999991,0.9844961240310077,0.015503875968992248,19,0.04314720812182741,0.8947368421052632,0.24179413913529102,0.5731641487750566,True,0.2565474917339321,0.24060068908906232
Rank_Ensemble,0.05,0.22899999999999981,0.9534883720930233,0.046511627906976744,99,0.23604060913705585,0.9393939393939394,0.411064120104611,0.5731641487750566,True,0.2565474917339321,0.24060068908906232
Rank_Ensemble,0.1,0.29299999999999976,0.9069767441860465,0.09302325581395349,153,0.35786802030456855,0.9215686274509803,0.4922385905265742,0.5731641487750566,True,0.2565474917339321,0.24060068908906232
Simple_Ensemble_Cal(T=1.30),0.02,0.34499999999999975,0.9844961240310077,0.015503875968992248,32,0.07614213197969544,0.9375,0.275261244888687,0.5726798418334247,True,0.21170861343808656,0.2104992246692708
Simple_Ensemble_Cal(T=1.30),0.05,0.3549999999999997,0.9534883720930233,0.046511627906976744,94,0.2233502538071066,0.9361702127659575,0.40075797637934074,0.5726798418334247,True,0.21170861343808656,0.2104992246692708
Simple_Ensemble_Cal(T=1.30),0.1,0.3719999999999997,0.9069767441860465,0.09302325581395349,143,0.33248730964467005,0.916083916083916,0.47381033391504135,0.5726798418334247,True,0.21170861343808656,0.2104992246692708
Rank_Ensemble_Cal(T=1.42),0.02,0.3619999999999997,0.9922480620155039,0.007751937984496124,16,0.03807106598984772,0.9375,0.23784322748887868,0.5733255844222672,True,0.25326863723320897,0.23118115456132715
Rank_Ensemble_Cal(T=1.42),0.05,0.4059999999999997,0.9534883720930233,0.046511627906976744,99,0.23604060913705585,0.9393939393939394,0.411064120104611,0.5733255844222672,True,0.25326863723320897,0.23118115456132715
Rank_Ensemble_Cal(T=1.42),0.1,0.42699999999999966,0.9069767441860465,0.09302325581395349,150,0.350253807106599,0.92,0.48674419967190063,0.5733255844222672,True,0.25326863723320897,0.23118115456132715
